,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Popularity,ID,TMDB Rating,Rating Count,Last Episode Rating,Last Air Date,First Air Date,# of Seasons,# of Episodes,Genre,Language,Country,In Production,Origin Network,Similar_1,Similar_2
0,Breaking Bad,2008,18+,9.5,96%,1,0,0,0,217.196,1396,8.6,5478,9.094,2013-09-29,2008-01-20,5,62,Drama,en,US,False,AMC,Narcos,Weeds
1,Stranger Things,2016,16+,8.8,93%,1,0,0,0,185.468,66732,8.5,5502,8.8,2019-07-04,2016-07-15,3,25,Mystery,en,US,True,Netflix,グレイプニル,ひぐらしのなく頃に
2,Money Heist,2017,18+,8.4,91%,1,0,0,0,306.686,71446,8.4,9208,7.0,2020-04-03,2017-05-02,2,31,Crime,es,ES,True,Netflix,Firefly,This Is Us
3,Sherlock,2010,16+,9.1,78%,1,0,0,0,72.346,19885,8.4,2375,7.286,2017-01-15,2010-07-25,4,12,Crime,en,GB,False,BBC One,Death in Paradise,The Outsider
4,Better Call Saul,2015,18+,8.7,97%,1,0,0,0,61.914,60059,8.3,1778,9.25,2020-04-20,2015-02-08,6,63,Comedy,en,US,True,AMC,grown-ish,Joey
5,The Office,2005,16+,8.9,81%,1,0,0,0,95.414,2316,8.4,1178,9.167,2013-05-16,2005-03-24,9,195,Comedy,en,US,False,NBC,The Office,Ground Floor
6,Black Mirror,2011,18+,8.8,83%,1,0,0,0,74.846,42009,8.3,2068,6.098,2019-06-05,2011-12-04,5,21,Sci-Fi & Fantasy,en,GB,True,Channel 4,SF8,The Man in the High Castle
7,Supernatural,2005,16+,8.4,93%,1,0,0,0,365.054,1622,8,3722,8.667,2020-03-23,2005-09-13,15,327,Drama,en,US,True,The WB,夏目友人帳,青の祓魔師
8,Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,82.139,60574,8.5,1313,8.0,2019-09-22,2013-09-12,5,30,Drama,en,GB,True,BBC One,Crossbones,Breaking Bad
9,Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,63.539,246,8.5,1510,7.667,2008-07-19,2005-02-21,3,61,Action,en,US,False,Nickelodeon,Niko and the Sword of Light,The Legend of Korra
10,The Walking Dead,2010,18+,8.2,81%,1,0,0,0,246.222,1402,7.8,7500,6.4,2020-04-05,2010-10-31,10,147,Action & Adventure,en,US,True,AMC,The Walking Dead: World Beyond,学園黙示録 HIGHSCHOOL OF THE DEAD
11,Dark,2017,16+,8.7,94%,1,0,0,0,381.153,70523,8.5,3303,8.2,2020-06-27,2017-12-01,3,26,Sci-Fi & Fantasy,de,DE,False,Netflix,Unsolved Mysteries,Broadchurch
12,Ozark,2017,18+,8.4,81%,1,0,0,0,55.174,69740,8.1,776,8.6,2020-03-27,2017-07-21,3,30,Crime,en,US,True,Netflix,El Chapo,Power
13,Attack on Titan,2013,16+,8.8,94%,1,1,0,0,55.578,1429,8.6,1773,10.0,2019-06-30,2013-04-06,4,60,Animation,ja,JP,True,HTB,ダンスインザヴァンパイアバンド,アカメが斬る!
14,Narcos,2015,18+,8.8,89%,1,0,0,0,47.035,63351,8,1287,8.25,2017-09-01,2015-08-28,3,30,Crime,es,US,False,Netflix,Breaking Bad,Weeds
15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,1,1,0,0,59.386,31911,8.6,738,8.0,2010-07-04,2009-04-05,1,64,Action & Adventure,ja,JP,False,ANIMAX,鋼の錬金術師,ダンスインザヴァンパイアバンド
16,Community,2009,7+,8.5,88%,1,1,0,0,51.082,18347,7.9,674,7.813,2015-06-02,2009-09-17,6,110,Comedy,en,US,False,NBC,South Park,30 Rock
17,Mindhunter,2017,18+,8.6,96%,1,0,0,0,41.112,67744,7.9,944,8.5,2019-08-16,2017-10-13,2,19,Drama,en,US,True,Netflix,Hannibal,Haven
18,Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,48.979,8592,8,610,9.091,2015-02-24,2009-04-09,7,125,Comedy,en,US,False,NBC,The Thick of It,30 Rock
19,Dexter,2006,18+,8.6,72%,1,0,0,0,83.314,1405,8.1,1894,5.417,2013-09-22,2006-10-01,8,96,Crime,en,US,False,Showtime,Hannibal,True Detective
20,Marvel's Daredevil,2015,18+,8.6,92%,1,0,0,0,69.723,61889,7.9,1974,8.727,2018-10-19,2015-04-10,3,39,Action,en,US,False,Netflix,Marvel's Luke Cage,Marvel's Runaways
21,The Witcher,2019,18+,8.3,67%,1,0,0,0,99.363,71912,8.1,1428,8.852,2019-12-20,2019-12-20,1,8,Sci-Fi & Fantasy,en,US,True,Netflix,Legend of the Seeker,Legend of Earthsea
22,Twin Peaks,1990,18+,8.8,89%,1,1,0,0,59.715,1920,8.2,980,8.5,2017-09-03,1990-04-08,3,48,Drama,nn,US,False,ABC,Gilmore Girls,Millennium
23,One-Punch Man,2015,16+,8.8,100%,1,1,0,0,77.687,63926,8.4,1209,6.0,2019-07-02,2015-10-04,2,24,Action & Adventure,ja,JP,True,TV Tokyo,文豪ストレイドッグス,ドラゴンボールゼット
24,Outlander,2014,18+,8.4,91%,1,0,0,0,102.209,56570,7.8,1099,10.0,2020-05-10,2014-08-09,5,67,Adventure,fr,US,True,Starz,戦国お伽草子–犬夜叉,11.22.63
25,House of Cards,2013,18+,8.7,78%,1,0,0,0,62.386,1425,8.1,1500,5.333,2018-11-02,2013-02-01,6,73,Drama,en,US,False,Netflix,Designated Survivor,The West Wing
26,Shameless,2011,18+,8.6,85%,1,0,0,0,82.362,34307,7.9,1094,6.0,2020-01-26,2011-01-09,11,122,Drama,en,US,True,Showtime,Shameless,Bloodline
27,The Good Place,2016,16+,8.2,97%,1,1,0,0,42.925,66573,8,494,9.333,2020-01-30,2016-09-19,4,50,Sci-Fi & Fantasy,en,US,False,NBC,My Name Is Earl,The Abbott and Costello Show
28,The Haunting,2018,18+,8.7,93%,1,0,0,0,53.475,72844,8.1,765,9.25,2018-10-12,2018-10-12,2,19,Mystery,en,US,True,Netflix,American Horror Story,アナザー
29,The Blacklist,2013,16+,8.0,91%,1,0,0,0,104.535,46952,7.3,1599,1.0,2020-05-15,2013-09-23,7,152,Drama,en,US,True,NBC,Perception,Hannibal
30,The Flash,2014,7+,7.7,89%,1,0,0,0,323.644,60735,7.5,5553,5.0,2020-05-12,2014-10-07,7,133,Drama,en,US,True,The CW,Batman,Wonder Woman
31,The Last Kingdom,2015,18+,8.4,91%,1,0,0,0,81.603,63333,8.1,629,10.0,2020-04-26,2015-10-10,4,36,Action & Adventure,en,GB,True,Netflix,Vikings,Reign
32,Mad Men,2007,16+,8.6,94%,1,0,0,0,52.317,1104,8.2,590,7.545,2015-05-17,2007-07-19,7,92,Drama,en,US,False,AMC,The Wonder Years,The Bold Type
33,Lucifer,2016,16+,8.2,87%,1,0,0,0,1681.214,63174,8.5,4799,10.0,2020-08-21,2016-01-25,5,75,Crime,en,US,True,FOX,Batman,Wonder Woman
34,Orange Is the New Black,2013,18+,8.1,90%,1,0,0,0,85.626,1424,7.6,1150,10.0,2019-07-26,2013-07-11,7,91,Comedy,en,US,False,Netflix,Oz,Wentworth
35,Grey's Anatomy,2005,16+,7.6,83%,1,1,0,0,338.011,1416,8,3476,0.0,2020-04-09,2005-03-27,16,362,Drama,en,US,True,ABC,Chicago Hope,Saving Hope
36,The End of the F***ing World,2017,18+,8.1,93%,1,0,0,0,48.516,74577,8.2,1105,8.0,2019-11-07,2017-10-24,2,16,Comedy,en,GB,False,Channel 4,Insatiable,Lab Rats
37,Arrested Development,2003,16+,8.7,75%,1,1,0,0,42.152,4589,8.1,669,5.0,2019-03-15,2003-11-02,5,84,Comedy,en,US,True,FOX,Shameless,The Sopranos
38,The Vampire Diaries,2009,7+,7.7,85%,1,0,0,0,305.246,18165,8.2,3306,9.6,2017-03-10,2009-09-10,8,171,Drama,en,US,False,The CW,Shadowhunters,Penny Dreadful
39,The Crown,2016,18+,8.7,89%,1,0,0,0,58.389,65494,8.2,489,7.5,2019-11-17,2016-11-04,4,31,Drama,en,GB,True,Netflix,The White Princess,The Spanish Princess
40,The 100,2014,16+,7.7,92%,1,0,0,0,463.89,48866,7.7,4158,8.0,2020-08-19,2014-03-19,7,100,Sci-Fi & Fantasy,en,US,True,The CW,Pretty Little Liars,A Series of Unfortunate Events
41,When They See Us,2019,18+,8.9,96%,1,0,0,0,24.099,81355,8.3,261,8.5,2019-05-31,2019-05-31,1,4,Drama,en,US,False,Netflix,Pose,Everybody Hates Chris
42,How to Get Away with Murder,2014,16+,8.1,88%,1,1,0,0,82.744,61056,7.8,756,5.0,2020-05-14,2014-09-25,6,90,Crime,en,US,False,ABC,Big Little Lies,Death in Paradise
43,After Life,2019,18+,8.5,70%,1,0,0,0,18.223,79410,7.8,142,8.333,2020-04-24,2019-03-08,2,12,Comedy,en,GB,True,Netflix,Fleabag,St. Elsewhere
