,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Popularity,ID,TMDB Rating
0,Breaking Bad,2008,18+,9.5,96%,1,0,0,0,1,217.196,1396,8.6
1,Stranger Things,2016,16+,8.8,93%,1,0,0,0,1,185.468,66732,8.5
2,Money Heist,2017,18+,8.4,91%,1,0,0,0,1,306.686,71446,8.4
3,Sherlock,2010,16+,9.1,78%,1,0,0,0,1,72.346,19885,8.4
4,Better Call Saul,2015,18+,8.7,97%,1,0,0,0,1,61.914,60059,8.3
5,The Office,2005,16+,8.9,81%,1,0,0,0,1,95.414,2316,8.4
6,Black Mirror,2011,18+,8.8,83%,1,0,0,0,1,74.846,42009,8.3
7,Supernatural,2005,16+,8.4,93%,1,0,0,0,1,365.054,1622,8
8,Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,1,82.139,60574,8.5
9,Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,1,63.539,246,8.5
10,The Walking Dead,2010,18+,8.2,81%,1,0,0,0,1,246.222,1402,7.8
11,Dark,2017,16+,8.7,94%,1,0,0,0,1,381.153,70523,8.5
12,Ozark,2017,18+,8.4,81%,1,0,0,0,1,55.174,69740,8.1
13,Attack on Titan,2013,16+,8.8,94%,1,1,0,0,1,55.578,1429,8.6
14,Narcos,2015,18+,8.8,89%,1,0,0,0,1,47.035,63351,8
15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,1,1,0,0,1,59.386,31911,8.6
16,Community,2009,7+,8.5,88%,1,1,0,0,1,51.082,18347,7.9
17,Mindhunter,2017,18+,8.6,96%,1,0,0,0,1,41.112,67744,7.9
18,Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,1,48.979,8592,8
19,Dexter,2006,18+,8.6,72%,1,0,0,0,1,83.314,1405,8.1
20,Marvel's Daredevil,2015,18+,8.6,92%,1,0,0,0,1,69.723,61889,7.9
21,The Witcher,2019,18+,8.3,67%,1,0,0,0,1,99.363,71912,8.1
22,Twin Peaks,1990,18+,8.8,89%,1,1,0,0,1,59.715,1920,8.2
23,One-Punch Man,2015,16+,8.8,100%,1,1,0,0,1,77.687,63926,8.4
24,Outlander,2014,18+,8.4,91%,1,0,0,0,1,102.209,56570,7.8
25,House of Cards,2013,18+,8.7,78%,1,0,0,0,1,62.386,1425,8.1
26,Shameless,2011,18+,8.6,85%,1,0,0,0,1,82.362,34307,7.9
27,The Good Place,2016,16+,8.2,97%,1,1,0,0,1,42.925,66573,8
28,The Haunting,2018,18+,8.7,93%,1,0,0,0,1,53.475,72844,8.1
29,The Blacklist,2013,16+,8.0,91%,1,0,0,0,1,104.535,46952,7.3
30,The Flash,2014,7+,7.7,89%,1,0,0,0,1,323.644,60735,7.5
31,The Last Kingdom,2015,18+,8.4,91%,1,0,0,0,1,81.603,63333,8.1
32,Mad Men,2007,16+,8.6,94%,1,0,0,0,1,52.317,1104,8.2
33,Lucifer,2016,16+,8.2,87%,1,0,0,0,1,1681.214,63174,8.5
34,Orange Is the New Black,2013,18+,8.1,90%,1,0,0,0,1,85.626,1424,7.6
35,Grey's Anatomy,2005,16+,7.6,83%,1,1,0,0,1,338.011,1416,8
36,The End of the F***ing World,2017,18+,8.1,93%,1,0,0,0,1,48.516,74577,8.2
37,Arrested Development,2003,16+,8.7,75%,1,1,0,0,1,42.152,4589,8.1
38,The Vampire Diaries,2009,7+,7.7,85%,1,0,0,0,1,305.246,18165,8.2
39,The Crown,2016,18+,8.7,89%,1,0,0,0,1,58.389,65494,8.2
40,The 100,2014,16+,7.7,92%,1,0,0,0,1,463.89,48866,7.7
41,When They See Us,2019,18+,8.9,96%,1,0,0,0,1,24.099,81355,8.3
42,How to Get Away with Murder,2014,16+,8.1,88%,1,1,0,0,1,82.744,61056,7.8
43,After Life,2019,18+,8.5,70%,1,0,0,0,1,18.223,79410,7.8
44,Elite,2018,18+,7.6,97%,1,0,0,0,1,231.961,76669,8.3
45,BoJack Horseman,2014,18+,8.7,93%,1,0,0,0,1,63.597,61222,8.5
